
          ***** ANSYS POST26 VARIABLE LISTING *****


    TIME          2 EPELX   
                  EPELX_5 
   0.10000E-02  0.850682E-004
   0.20000E-02  0.170136E-003
   0.30000E-02  0.255204E-003
   0.40000E-02  0.340273E-003
   0.50000E-02  0.425341E-003
   0.60000E-02  0.510409E-003
   0.70000E-02  0.595477E-003
   0.80000E-02  0.680545E-003
   0.90000E-02  0.765613E-003
   0.10000E-01  0.850682E-003
   0.11000E-01  0.935750E-003
   0.12000E-01  0.102082E-002
   0.13000E-01  0.110589E-002
   0.14000E-01  0.119095E-002
   0.15000E-01  0.127602E-002
   0.16000E-01  0.136109E-002
   0.17000E-01  0.144616E-002
   0.18000E-01  0.153123E-002
   0.19000E-01  0.161629E-002
   0.20000E-01  0.170136E-002

          ***** ANSYS POST26 VARIABLE LISTING *****


    TIME          2 EPELX   
                  EPELX_5 
   0.21000E-01  0.178643E-002
   0.22000E-01  0.187150E-002
   0.23000E-01  0.195657E-002
   0.24000E-01  0.204164E-002
   0.25000E-01  0.212670E-002
   0.26000E-01  0.221177E-002
   0.27000E-01  0.229684E-002
   0.28000E-01  0.238191E-002
   0.29000E-01  0.246698E-002
   0.30000E-01  0.255204E-002
   0.31000E-01  0.263711E-002
   0.32000E-01  0.272218E-002
   0.33000E-01  0.280725E-002
   0.34000E-01  0.289232E-002
   0.35000E-01  0.297739E-002
   0.36000E-01  0.306245E-002
   0.37000E-01  0.314752E-002
   0.38000E-01  0.323259E-002
   0.39000E-01  0.331766E-002
   0.40000E-01  0.340273E-002

          ***** ANSYS POST26 VARIABLE LISTING *****


    TIME          2 EPELX   
                  EPELX_5 
   0.41000E-01  0.348779E-002
   0.42000E-01  0.357286E-002
   0.43000E-01  0.365793E-002
   0.44000E-01  0.374300E-002
   0.45000E-01  0.382807E-002
   0.46000E-01  0.391314E-002
   0.47000E-01  0.399820E-002
   0.48000E-01  0.408327E-002
   0.49000E-01  0.416834E-002
   0.50000E-01  0.425341E-002
   0.51000E-01  0.433848E-002
   0.52000E-01  0.442354E-002
   0.53000E-01  0.450861E-002
   0.54000E-01  0.459368E-002
   0.55000E-01  0.467875E-002
   0.56000E-01  0.476382E-002
   0.57000E-01  0.484888E-002
   0.58000E-01  0.493395E-002
   0.59000E-01  0.501902E-002
   0.60000E-01  0.510409E-002

          ***** ANSYS POST26 VARIABLE LISTING *****


    TIME          2 EPELX   
                  EPELX_5 
   0.61000E-01  0.518916E-002
   0.62000E-01  0.527423E-002
   0.63000E-01  0.535929E-002
   0.64000E-01  0.544436E-002
   0.65000E-01  0.552943E-002
   0.66000E-01  0.561450E-002
   0.67000E-01  0.569957E-002
   0.68000E-01  0.578463E-002
   0.69000E-01  0.586970E-002
   0.70000E-01  0.595477E-002
   0.71000E-01  0.603984E-002
   0.72000E-01  0.612491E-002
   0.73000E-01  0.620998E-002
   0.74000E-01  0.629504E-002
   0.75000E-01  0.638011E-002
   0.76000E-01  0.646518E-002
   0.77000E-01  0.655025E-002
   0.78000E-01  0.663532E-002
   0.79000E-01  0.672038E-002
   0.80000E-01  0.680545E-002

          ***** ANSYS POST26 VARIABLE LISTING *****


    TIME          2 EPELX   
                  EPELX_5 
   0.81000E-01  0.689052E-002
   0.82000E-01  0.697559E-002
   0.83000E-01  0.706066E-002
   0.84000E-01  0.714572E-002
   0.85000E-01  0.723079E-002
   0.86000E-01  0.731586E-002
   0.87000E-01  0.740093E-002
   0.88000E-01  0.748600E-002
   0.89000E-01  0.757107E-002
   0.90000E-01  0.765613E-002
   0.91000E-01  0.774120E-002
   0.92000E-01  0.782627E-002
   0.93000E-01  0.791134E-002
   0.94000E-01  0.799641E-002
   0.95000E-01  0.808147E-002
   0.96000E-01  0.816654E-002
   0.97000E-01  0.825161E-002
   0.98000E-01  0.833668E-002
   0.99000E-01  0.842175E-002
   0.10000      0.850681E-002

          ***** ANSYS POST26 VARIABLE LISTING *****


    TIME          2 EPELX   
                  EPELX_5 
   0.10100      0.859188E-002
   0.10200      0.867695E-002
   0.10300      0.876202E-002
   0.10400      0.884709E-002
   0.10500      0.893216E-002
   0.10600      0.901722E-002
   0.10700      0.910229E-002
   0.10800      0.918736E-002
   0.10900      0.927243E-002
   0.11000      0.935750E-002
   0.11100      0.944257E-002
   0.11200      0.952763E-002
   0.11300      0.961270E-002
   0.11400      0.969777E-002
   0.11500      0.978284E-002
   0.11600      0.986791E-002
   0.11700      0.995297E-002
   0.11800      0.100380E-001
   0.11900      0.101231E-001
   0.12000      0.102082E-001

          ***** ANSYS POST26 VARIABLE LISTING *****


    TIME          2 EPELX   
