
          ***** ANSYS POST26 VARIABLE LISTING *****


    TIME         39 EPELX   
                  EPELX_7 
   0.10000E-02  0.495115E-004
   0.20000E-02  0.990230E-004
   0.30000E-02  0.148535E-003
   0.40000E-02  0.198046E-003
   0.50000E-02  0.247558E-003
   0.60000E-02  0.297069E-003
   0.70000E-02  0.346581E-003
   0.80000E-02  0.396092E-003
   0.90000E-02  0.445604E-003
   0.10000E-01  0.495115E-003
   0.11000E-01  0.544627E-003
   0.12000E-01  0.594138E-003
   0.13000E-01  0.643650E-003
   0.14000E-01  0.693161E-003
   0.15000E-01  0.742673E-003
   0.16000E-01  0.792184E-003
   0.17000E-01  0.841696E-003
   0.18000E-01  0.891207E-003
   0.19000E-01  0.940719E-003
   0.20000E-01  0.990230E-003

          ***** ANSYS POST26 VARIABLE LISTING *****


    TIME         39 EPELX   
                  EPELX_7 
   0.21000E-01  0.103974E-002
   0.22000E-01  0.108925E-002
   0.23000E-01  0.113877E-002
   0.24000E-01  0.118828E-002
   0.25000E-01  0.123779E-002
   0.26000E-01  0.128730E-002
   0.27000E-01  0.133681E-002
   0.28000E-01  0.138632E-002
   0.29000E-01  0.143583E-002
   0.30000E-01  0.148535E-002
   0.31000E-01  0.153486E-002
   0.32000E-01  0.158437E-002
   0.33000E-01  0.163388E-002
   0.34000E-01  0.168339E-002
   0.35000E-01  0.173290E-002
   0.36000E-01  0.178241E-002
   0.37000E-01  0.183193E-002
   0.38000E-01  0.188144E-002
   0.39000E-01  0.193095E-002
   0.40000E-01  0.198046E-002

          ***** ANSYS POST26 VARIABLE LISTING *****


    TIME         39 EPELX   
                  EPELX_7 
   0.41000E-01  0.202997E-002
   0.42000E-01  0.207948E-002
   0.43000E-01  0.212900E-002
   0.44000E-01  0.217851E-002
   0.45000E-01  0.222802E-002
   0.46000E-01  0.227753E-002
   0.47000E-01  0.232704E-002
   0.48000E-01  0.237655E-002
   0.49000E-01  0.242606E-002
   0.50000E-01  0.247558E-002
   0.51000E-01  0.252509E-002
   0.52000E-01  0.257460E-002
   0.53000E-01  0.262411E-002
   0.54000E-01  0.267362E-002
   0.55000E-01  0.272313E-002
   0.56000E-01  0.277265E-002
   0.57000E-01  0.282216E-002
   0.58000E-01  0.287167E-002
   0.59000E-01  0.292118E-002
   0.60000E-01  0.297069E-002

          ***** ANSYS POST26 VARIABLE LISTING *****


    TIME         39 EPELX   
                  EPELX_7 
   0.61000E-01  0.302020E-002
   0.62000E-01  0.306971E-002
   0.63000E-01  0.311923E-002
   0.64000E-01  0.316874E-002
   0.65000E-01  0.321825E-002
   0.66000E-01  0.326776E-002
   0.67000E-01  0.331727E-002
   0.68000E-01  0.336678E-002
   0.69000E-01  0.341629E-002
   0.70000E-01  0.346581E-002
   0.71000E-01  0.351532E-002
   0.72000E-01  0.356483E-002
   0.73000E-01  0.361434E-002
   0.74000E-01  0.366385E-002
   0.75000E-01  0.371336E-002
   0.76000E-01  0.376288E-002
   0.77000E-01  0.381239E-002
   0.78000E-01  0.386190E-002
   0.79000E-01  0.391141E-002
   0.80000E-01  0.396092E-002

          ***** ANSYS POST26 VARIABLE LISTING *****


    TIME         39 EPELX   
                  EPELX_7 
   0.81000E-01  0.401043E-002
   0.82000E-01  0.405994E-002
   0.83000E-01  0.410946E-002
   0.84000E-01  0.415897E-002
   0.85000E-01  0.420848E-002
   0.86000E-01  0.425799E-002
   0.87000E-01  0.430750E-002
   0.88000E-01  0.435701E-002
   0.89000E-01  0.440653E-002
   0.90000E-01  0.445604E-002
   0.91000E-01  0.450555E-002
   0.92000E-01  0.455506E-002
   0.93000E-01  0.460457E-002
   0.94000E-01  0.465408E-002
   0.95000E-01  0.470359E-002
   0.96000E-01  0.475311E-002
   0.97000E-01  0.480262E-002
   0.98000E-01  0.485213E-002
   0.99000E-01  0.490164E-002
   0.10000      0.495115E-002

          ***** ANSYS POST26 VARIABLE LISTING *****


    TIME         39 EPELX   
                  EPELX_7 
   0.10100      0.500066E-002
   0.10200      0.505018E-002
   0.10300      0.509969E-002
   0.10400      0.514920E-002
   0.10500      0.519871E-002
   0.10600      0.524822E-002
   0.10700      0.529773E-002
   0.10800      0.534724E-002
   0.10900      0.539676E-002
   0.11000      0.544627E-002
   0.11100      0.549578E-002
   0.11200      0.554529E-002
   0.11300      0.559480E-002
   0.11400      0.564431E-002
   0.11500      0.569382E-002
   0.11600      0.574334E-002
   0.11700      0.579285E-002
   0.11800      0.584236E-002
   0.11900      0.589187E-002
   0.12000      0.594138E-002

          ***** ANSYS POST26 VARIABLE LISTING *****


    TIME         39 EPELX   
                  EPELX_7 
   0.12100      0.599089E-002
   0.12200      0.604041E-002
   0.12300      0.608992E-002
   0.12400      0.613943E-002
   0.12500      0.618894E-002
   0.12600      0.623845E-002
   0.12700      0.628796E-002
   0.12800      0.633747E-002
   0.12900      0.638699E-002
   0.13000      0.643650E-002
   0.13100      0.648601E-002
   0.13200      0.653552E-002
   0.13300      0.658503E-002
   0.13400      0.663454E-002
   0.13500      0.668406E-002
   0.13600      0.673357E-002
   0.13700      0.678308E-002
   0.13800      0.683259E-002
   0.13900      0.688210E-002
