
          ***** ANSYS POST26 VARIABLE LISTING *****


    TIME          2 EPELX   
                  EPELX_5 
   0.10000E-02  0.739484E-004
   0.20000E-02  0.147897E-003
   0.30000E-02  0.221845E-003
   0.40000E-02  0.295794E-003
   0.50000E-02  0.369742E-003
   0.60000E-02  0.443690E-003
   0.70000E-02  0.517639E-003
   0.80000E-02  0.591587E-003
   0.90000E-02  0.665536E-003
   0.10000E-01  0.739484E-003
   0.11000E-01  0.813433E-003
   0.12000E-01  0.887381E-003
   0.13000E-01  0.961329E-003
   0.14000E-01  0.103528E-002
   0.15000E-01  0.110923E-002
   0.16000E-01  0.118317E-002
   0.17000E-01  0.125712E-002
   0.18000E-01  0.133107E-002
   0.19000E-01  0.140502E-002
   0.20000E-01  0.147897E-002

          ***** ANSYS POST26 VARIABLE LISTING *****


    TIME          2 EPELX   
                  EPELX_5 
   0.21000E-01  0.155292E-002
   0.22000E-01  0.162687E-002
   0.23000E-01  0.170081E-002
   0.24000E-01  0.177476E-002
   0.25000E-01  0.184871E-002
   0.26000E-01  0.192266E-002
   0.27000E-01  0.199661E-002
   0.28000E-01  0.207056E-002
   0.29000E-01  0.214450E-002
   0.30000E-01  0.221845E-002
   0.31000E-01  0.229240E-002
   0.32000E-01  0.236635E-002
   0.33000E-01  0.244030E-002
   0.34000E-01  0.251425E-002
   0.35000E-01  0.258819E-002
   0.36000E-01  0.266214E-002
   0.37000E-01  0.273609E-002
   0.38000E-01  0.281004E-002
   0.39000E-01  0.288399E-002
   0.40000E-01  0.295794E-002

          ***** ANSYS POST26 VARIABLE LISTING *****


    TIME          2 EPELX   
                  EPELX_5 
   0.41000E-01  0.303188E-002
   0.42000E-01  0.310583E-002
   0.43000E-01  0.317978E-002
   0.44000E-01  0.325373E-002
   0.45000E-01  0.332768E-002
   0.46000E-01  0.340163E-002
   0.47000E-01  0.347558E-002
   0.48000E-01  0.354952E-002
   0.49000E-01  0.362347E-002
   0.50000E-01  0.369742E-002
   0.51000E-01  0.377137E-002
   0.52000E-01  0.384532E-002
   0.53000E-01  0.391927E-002
   0.54000E-01  0.399321E-002
   0.55000E-01  0.406716E-002
   0.56000E-01  0.414111E-002
   0.57000E-01  0.421506E-002
   0.58000E-01  0.428901E-002
   0.59000E-01  0.436296E-002
   0.60000E-01  0.443690E-002

          ***** ANSYS POST26 VARIABLE LISTING *****


    TIME          2 EPELX   
                  EPELX_5 
   0.61000E-01  0.451085E-002
   0.62000E-01  0.458480E-002
   0.63000E-01  0.465875E-002
   0.64000E-01  0.473270E-002
   0.65000E-01  0.480665E-002
   0.66000E-01  0.488060E-002
   0.67000E-01  0.495454E-002
   0.68000E-01  0.502849E-002
   0.69000E-01  0.510244E-002
   0.70000E-01  0.517639E-002
   0.71000E-01  0.525034E-002
   0.72000E-01  0.532429E-002
   0.73000E-01  0.539823E-002
   0.74000E-01  0.547218E-002
   0.75000E-01  0.554613E-002
   0.76000E-01  0.562008E-002
   0.77000E-01  0.569403E-002
   0.78000E-01  0.576798E-002
   0.79000E-01  0.584192E-002
   0.80000E-01  0.591587E-002

          ***** ANSYS POST26 VARIABLE LISTING *****


    TIME          2 EPELX   
                  EPELX_5 
   0.81000E-01  0.598982E-002
   0.82000E-01  0.606377E-002
