
          ***** ANSYS POST26 VARIABLE LISTING *****


    TIME         10 EPELX   
                  EPELX_7 
   0.10000E-02  0.360189E-004
   0.20000E-02  0.720378E-004
   0.30000E-02  0.108057E-003
   0.40000E-02  0.144076E-003
   0.50000E-02  0.180094E-003
   0.60000E-02  0.216113E-003
   0.70000E-02  0.252132E-003
   0.80000E-02  0.288151E-003
   0.90000E-02  0.324170E-003
   0.10000E-01  0.360189E-003
   0.11000E-01  0.396208E-003
   0.12000E-01  0.432227E-003
   0.13000E-01  0.468245E-003
   0.14000E-01  0.504264E-003
   0.15000E-01  0.540283E-003
   0.16000E-01  0.576302E-003
   0.17000E-01  0.612321E-003
   0.18000E-01  0.648340E-003
   0.19000E-01  0.684359E-003
   0.20000E-01  0.720378E-003

          ***** ANSYS POST26 VARIABLE LISTING *****


    TIME         10 EPELX   
                  EPELX_7 
   0.21000E-01  0.756396E-003
   0.22000E-01  0.792415E-003
   0.23000E-01  0.828434E-003
   0.24000E-01  0.864453E-003
   0.25000E-01  0.900472E-003
   0.26000E-01  0.936491E-003
   0.27000E-01  0.972510E-003
   0.28000E-01  0.100853E-002
   0.29000E-01  0.104455E-002
   0.30000E-01  0.108057E-002
   0.31000E-01  0.111659E-002
   0.32000E-01  0.115260E-002
   0.33000E-01  0.118862E-002
   0.34000E-01  0.122464E-002
   0.35000E-01  0.126066E-002
   0.36000E-01  0.129668E-002
   0.37000E-01  0.133270E-002
   0.38000E-01  0.136872E-002
   0.39000E-01  0.140474E-002
   0.40000E-01  0.144076E-002

          ***** ANSYS POST26 VARIABLE LISTING *****


    TIME         10 EPELX   
                  EPELX_7 
   0.41000E-01  0.147677E-002
   0.42000E-01  0.151279E-002
   0.43000E-01  0.154881E-002
   0.44000E-01  0.158483E-002
   0.45000E-01  0.162085E-002
   0.46000E-01  0.165687E-002
   0.47000E-01  0.169289E-002
   0.48000E-01  0.172891E-002
   0.49000E-01  0.176493E-002
   0.50000E-01  0.180094E-002
   0.51000E-01  0.183696E-002
   0.52000E-01  0.187298E-002
   0.53000E-01  0.190900E-002
   0.54000E-01  0.194502E-002
