
          ***** ANSYS POST26 VARIABLE LISTING *****


    TIME          2 EPELX   
                  EPELX_5 
   0.10000E-02  0.921573E-004
   0.20000E-02  0.184315E-003
   0.30000E-02  0.276472E-003
   0.40000E-02  0.368629E-003
   0.50000E-02  0.460786E-003
   0.60000E-02  0.552944E-003
   0.70000E-02  0.645101E-003
   0.80000E-02  0.737258E-003
   0.90000E-02  0.829415E-003
   0.10000E-01  0.921573E-003
   0.11000E-01  0.101373E-002
   0.12000E-01  0.110589E-002
   0.13000E-01  0.119804E-002
   0.14000E-01  0.129020E-002
   0.15000E-01  0.138236E-002
   0.16000E-01  0.147452E-002
   0.17000E-01  0.156667E-002
   0.18000E-01  0.165883E-002
   0.19000E-01  0.175099E-002
   0.20000E-01  0.184315E-002

          ***** ANSYS POST26 VARIABLE LISTING *****


    TIME          2 EPELX   
                  EPELX_5 
   0.21000E-01  0.193530E-002
   0.22000E-01  0.202746E-002
   0.23000E-01  0.211962E-002
   0.24000E-01  0.221177E-002
   0.25000E-01  0.230393E-002
   0.26000E-01  0.239609E-002
   0.27000E-01  0.248825E-002
   0.28000E-01  0.258040E-002
   0.29000E-01  0.267256E-002
   0.30000E-01  0.276472E-002
   0.31000E-01  0.285688E-002
   0.32000E-01  0.294903E-002
   0.33000E-01  0.304119E-002
   0.34000E-01  0.313335E-002
   0.35000E-01  0.322550E-002
   0.36000E-01  0.331766E-002
   0.37000E-01  0.340982E-002
   0.38000E-01  0.350198E-002
   0.39000E-01  0.359413E-002
   0.40000E-01  0.368629E-002

          ***** ANSYS POST26 VARIABLE LISTING *****


    TIME          2 EPELX   
                  EPELX_5 
   0.41000E-01  0.377845E-002
   0.42000E-01  0.387060E-002
   0.43000E-01  0.396276E-002
   0.44000E-01  0.405492E-002
   0.45000E-01  0.414708E-002
   0.46000E-01  0.423923E-002
   0.47000E-01  0.433139E-002
   0.48000E-01  0.442355E-002
   0.49000E-01  0.451571E-002
   0.50000E-01  0.460786E-002
   0.51000E-01  0.470002E-002
   0.52000E-01  0.479218E-002
   0.53000E-01  0.488433E-002
   0.54000E-01  0.497649E-002
   0.55000E-01  0.506865E-002
   0.56000E-01  0.516081E-002
   0.57000E-01  0.525296E-002
   0.58000E-01  0.534512E-002
   0.59000E-01  0.543728E-002
   0.60000E-01  0.552944E-002

          ***** ANSYS POST26 VARIABLE LISTING *****


    TIME          2 EPELX   
                  EPELX_5 
   0.61000E-01  0.562159E-002
   0.62000E-01  0.571375E-002
   0.63000E-01  0.580591E-002
   0.64000E-01  0.589806E-002
   0.65000E-01  0.599022E-002
   0.66000E-01  0.608238E-002
   0.67000E-01  0.617454E-002
   0.68000E-01  0.626669E-002
   0.69000E-01  0.635885E-002
   0.70000E-01  0.645101E-002
   0.71000E-01  0.654317E-002
   0.72000E-01  0.663532E-002
   0.73000E-01  0.672748E-002
   0.74000E-01  0.681964E-002
   0.75000E-01  0.691179E-002
   0.76000E-01  0.700395E-002
   0.77000E-01  0.709611E-002
   0.78000E-01  0.718827E-002
   0.79000E-01  0.728042E-002
   0.80000E-01  0.737258E-002

          ***** ANSYS POST26 VARIABLE LISTING *****


    TIME          2 EPELX   
                  EPELX_5 
   0.81000E-01  0.746474E-002
   0.82000E-01  0.755690E-002
   0.83000E-01  0.764905E-002
   0.84000E-01  0.774121E-002
   0.85000E-01  0.783337E-002
   0.86000E-01  0.792552E-002
   0.87000E-01  0.801768E-002
   0.88000E-01  0.810984E-002
   0.89000E-01  0.820200E-002
   0.90000E-01  0.829415E-002
   0.91000E-01  0.838631E-002
   0.92000E-01  0.847847E-002
   0.93000E-01  0.857063E-002
   0.94000E-01  0.866278E-002
   0.95000E-01  0.875494E-002
   0.96000E-01  0.884710E-002
   0.97000E-01  0.893925E-002
   0.98000E-01  0.903141E-002
   0.99000E-01  0.912357E-002
   0.10000      0.921573E-002

          ***** ANSYS POST26 VARIABLE LISTING *****


    TIME          2 EPELX   
                  EPELX_5 
   0.10100      0.930788E-002
   0.10200      0.940004E-002
   0.10300      0.949220E-002
   0.10400      0.958436E-002
   0.10500      0.967651E-002
   0.10600      0.976867E-002
   0.10700      0.986083E-002
   0.10800      0.995298E-002
   0.10900      0.100451E-001
   0.11000      0.101373E-001
   0.11100      0.102295E-001
   0.11200      0.103216E-001
   0.11300      0.104138E-001
   0.11400      0.105059E-001
   0.11500      0.105981E-001
   0.11600      0.106902E-001
   0.11700      0.107824E-001
   0.11800      0.108746E-001
   0.11900      0.109667E-001
   0.12000      0.110589E-001

          ***** ANSYS POST26 VARIABLE LISTING *****


    TIME          2 EPELX   
                  EPELX_5 
   0.12100      0.111510E-001
   0.12200      0.112432E-001
   0.12300      0.113353E-001
   0.12400      0.114275E-001
   0.12500      0.115197E-001
   0.12600      0.116118E-001
   0.12700      0.117040E-001
   0.12800      0.117961E-001
   0.12900      0.118883E-001
   0.13000      0.119804E-001
   0.13100      0.120726E-001
   0.13200      0.121648E-001
   0.13300      0.122569E-001
   0.13400      0.123491E-001
   0.13500      0.124412E-001
   0.13600      0.125334E-001
   0.13700      0.126255E-001
   0.13800      0.127177E-001
   0.13900      0.128099E-001
   0.14000      0.129020E-001

          ***** ANSYS POST26 VARIABLE LISTING *****


    TIME          2 EPELX   
                  EPELX_5 
   0.14100      0.129942E-001
   0.14200      0.130863E-001
   0.14300      0.131785E-001
   0.14400      0.132706E-001
   0.14500      0.133628E-001
   0.14600      0.134550E-001
   0.14700      0.135471E-001
   0.14800      0.136393E-001
   0.14900      0.137314E-001
   0.15000      0.138236E-001
   0.15100      0.139157E-001
   0.15200      0.140079E-001
   0.15300      0.141001E-001
   0.15400      0.141922E-001
   0.15500      0.142844E-001
   0.15600      0.143765E-001
   0.15700      0.144687E-001
   0.15800      0.145608E-001
   0.15900      0.146530E-001
   0.16000      0.147452E-001

          ***** ANSYS POST26 VARIABLE LISTING *****


    TIME          2 EPELX   
                  EPELX_5 
   0.16100      0.148373E-001
   0.16200      0.149295E-001
   0.16300      0.150216E-001
   0.16400      0.151138E-001
   0.16500      0.152059E-001
   0.16600      0.152981E-001
   0.16700      0.153903E-001
   0.16800      0.154824E-001
   0.16900      0.155746E-001
   0.17000      0.156667E-001
   0.17100      0.157589E-001
   0.17200      0.158510E-001
   0.17300      0.159432E-001
   0.17400      0.160354E-001
   0.17500      0.161275E-001
   0.17600      0.162197E-001
   0.17700      0.163426E-001
   0.17800      0.165780E-001
   0.17900      0.156010E-001
   0.18000      0.146240E-001

          ***** ANSYS POST26 VARIABLE LISTING *****


    TIME          2 EPELX   
                  EPELX_5 
   0.18002      0.146240E-001
   0.18003      0.146240E-001
   0.18004      0.146240E-001
   0.18004      0.146240E-001
   0.18004      0.146240E-001
    1.0000      0.146240E-001

