
          ***** ANSYS POST26 VARIABLE LISTING *****


    TIME        157 EPELX   
                  EPELX_7 
   0.10000E-02  0.637752E-004
   0.20000E-02  0.127550E-003
   0.30000E-02  0.191326E-003
   0.40000E-02  0.255101E-003
   0.50000E-02  0.318876E-003
   0.60000E-02  0.382651E-003
   0.70000E-02  0.446426E-003
   0.80000E-02  0.510202E-003
   0.90000E-02  0.573977E-003
   0.10000E-01  0.637752E-003
   0.11000E-01  0.701527E-003
   0.12000E-01  0.765302E-003
   0.13000E-01  0.829078E-003
   0.14000E-01  0.892853E-003
   0.15000E-01  0.956628E-003
   0.16000E-01  0.102040E-002
   0.17000E-01  0.108418E-002
   0.18000E-01  0.114795E-002
   0.19000E-01  0.121173E-002
   0.20000E-01  0.127550E-002

          ***** ANSYS POST26 VARIABLE LISTING *****


    TIME        157 EPELX   
                  EPELX_7 
   0.21000E-01  0.133928E-002
   0.22000E-01  0.140305E-002
   0.23000E-01  0.146683E-002
   0.24000E-01  0.153060E-002
   0.25000E-01  0.159438E-002
   0.26000E-01  0.165816E-002
   0.27000E-01  0.172193E-002
   0.28000E-01  0.178571E-002
   0.29000E-01  0.184948E-002
   0.30000E-01  0.191326E-002
   0.31000E-01  0.197703E-002
   0.32000E-01  0.204081E-002
   0.33000E-01  0.210458E-002
   0.34000E-01  0.216836E-002
   0.35000E-01  0.223213E-002
   0.36000E-01  0.229591E-002
   0.37000E-01  0.235968E-002
   0.38000E-01  0.242346E-002
   0.39000E-01  0.248723E-002
   0.40000E-01  0.255101E-002

          ***** ANSYS POST26 VARIABLE LISTING *****


    TIME        157 EPELX   
                  EPELX_7 
   0.41000E-01  0.261478E-002
   0.42000E-01  0.267856E-002
   0.43000E-01  0.274233E-002
   0.44000E-01  0.280611E-002
   0.45000E-01  0.286988E-002
   0.46000E-01  0.293366E-002
   0.47000E-01  0.299743E-002
   0.48000E-01  0.306121E-002
   0.49000E-01  0.312498E-002
   0.50000E-01  0.318876E-002
   0.51000E-01  0.325254E-002
   0.52000E-01  0.331631E-002
   0.53000E-01  0.338009E-002
   0.54000E-01  0.344386E-002
   0.55000E-01  0.350764E-002
   0.56000E-01  0.357141E-002
   0.57000E-01  0.363519E-002
   0.58000E-01  0.369896E-002
   0.59000E-01  0.376274E-002
   0.60000E-01  0.382651E-002

          ***** ANSYS POST26 VARIABLE LISTING *****


    TIME        157 EPELX   
                  EPELX_7 
   0.61000E-01  0.389029E-002
   0.62000E-01  0.395406E-002
   0.63000E-01  0.401784E-002
   0.64000E-01  0.408161E-002
   0.65000E-01  0.414539E-002
   0.66000E-01  0.420916E-002
   0.67000E-01  0.427294E-002
   0.68000E-01  0.433671E-002
