
          ***** ANSYS POST26 VARIABLE LISTING *****


    TIME       5058 FY      
                  FY_3    
   0.10000E-01   222.417     
   0.20000E-01   444.834     
   0.30000E-01   667.251     
   0.40000E-01   889.668     
   0.50000E-01   1112.09     
   0.60000E-01   1334.50     
   0.70000E-01   1556.92     
   0.80000E-01   1779.34     
   0.90000E-01   2001.60     
   0.10000       2222.95     
   0.11000       2444.03     
   0.12000       2663.73     
   0.13000       2883.56     
   0.14000       3102.27     
   0.15000       3319.43     
   0.16000       3535.64     
   0.17000       3750.01     
   0.18000       3961.65     
   0.19000       4172.68     
   0.20000       4376.91     

          ***** ANSYS POST26 VARIABLE LISTING *****


    TIME       5058 FY      
                  FY_3    
   0.21000       4581.50     
   0.22000       4780.94     
   0.23000       4972.02     
   0.24000       5159.36     
   0.25000       5337.35     
   0.26000       5507.21     
   0.27000       5655.09     
   0.28000       5801.64     
   0.28500       5858.03     
   0.28521       5857.39     
   0.28525       5854.45     
   0.28527       5858.42     
   0.28527       5842.55     
   0.28528       5847.43     
   0.28528       5845.65     
   0.28528       5844.68     
   0.28529       5844.10     
    1.0000       1061.14     

