
          ***** ANSYS POST26 VARIABLE LISTING *****


    TIME       5058 UY      
                  UY_2    
   0.10000E-01  0.500000E-005
   0.20000E-01  0.100000E-004
   0.30000E-01  0.150000E-004
   0.40000E-01  0.200000E-004
   0.50000E-01  0.250000E-004
   0.60000E-01  0.300000E-004
   0.70000E-01  0.350000E-004
   0.80000E-01  0.400000E-004
   0.90000E-01  0.450000E-004
   0.10000      0.500000E-004
   0.11000      0.550000E-004
   0.12000      0.600000E-004
   0.13000      0.650000E-004
   0.14000      0.700000E-004
   0.15000      0.750000E-004
   0.16000      0.800000E-004
   0.17000      0.850000E-004
   0.18000      0.900000E-004
   0.19000      0.950000E-004
   0.20000      0.100000E-003

          ***** ANSYS POST26 VARIABLE LISTING *****


    TIME       5058 UY      
                  UY_2    
   0.21000      0.105000E-003
   0.22000      0.110000E-003
   0.23000      0.115000E-003
   0.24000      0.120000E-003
   0.25000      0.125000E-003
   0.26000      0.130000E-003
   0.27000      0.135000E-003
   0.28000      0.140000E-003
   0.28500      0.142500E-003
   0.28521      0.142603E-003
   0.28525      0.142623E-003
   0.28527      0.142633E-003
   0.28527      0.142637E-003
   0.28528      0.142641E-003
   0.28528      0.142642E-003
   0.28528      0.142642E-003
   0.28529      0.142643E-003
    1.0000      0.142643E-003

